OEP,CATEGORÍA,ESPECIALIDAD,PLAZAS,RESERVA DISCAPACIDAD,TOTAL PLAZAS,FECHA PUBLICACIÓN BOJA,ENLACE,ACCESO LIBRE/PROMOCIÓN INTERNA
2018,,TÉCNICO/A SUPERIOR EN ALOJAMIENTO,3,1,4,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TELEFONISTA,11,1,12,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TERAPEUTA OCUPACIONAL,3,1,4,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TRABAJADOR/A SOCIAL,8,1,9,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,ADMINISTRATIVO/A,125,14,139,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,AUXILIAR ADMINISTRATIVO/A,53,6,59,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,AUXILIAR DE ENFERMERÍA,226,25,251,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,CELADOR/A,54,6,60,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,CELADOR/A-CONDUCTOR/A,20,2,22,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,COCINERO/A,6,1,7,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,"CUERPO SUPERIOR FACULTATIVO IISS, ESPECIALIDAD FARMACIA",1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,"CUERPO SUPERIOR FACULTATIVO IISS, ESPECIALIDAD VETERINARIA",1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,ENFERMERO/A,236,26,262,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,ENFERMERO/A ESPECIALISTA OBSTÉTRICO-GINECOLÓGICA (MATRÓN/A),6,1,7,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,EPIDEMIÓLOGO/A DE ATENCIÓN PRIMARIA ,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FARMACÉUTICO/A DE ATENCIÓN PRIMARIA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ALERGOLOGÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ANÁLISIS CLÍNICOS,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ANATOMÍA PATOLÓGICA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ANESTESIOLOGÍA Y REANIMACIÓN,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ANGIOLOGÍA Y CIRUGÍA VASCULAR,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA APARATO DIGESTIVO,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CARDIOLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CIRUGÍA CARDIOVASCULAR,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CIRUGÍA GENERAL Y APARATO DIGESTIVO,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CIRUGÍA ORAL Y MAXILOFACIAL,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA CIRUGÍA PEDIÁTRICA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA DERMATOLOGÍA MEDICO QUIRÚRGICA Y VENEREOLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA ENDOCRINOLOGÍA Y NUTRICIÓN,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA FARMACIA HOSPITALARIA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA HEMATOLOGÍA Y HEMOTERAPIA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA MEDICINA FÍSICA Y REHABILITACIÓN,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA MEDICINA INTENSIVA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA MEDICINA INTERNA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA MEDICINA PREVENTIVA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA MICROBIOLOGÍA-PARASITOLOGÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA NEFROLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA NEUMOLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA NEUROCIRUGÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA NEUROFISIOLOGÍA CLÍNICA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
2018,,FEA NEUROLOGÍA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,PROMOCIÓN INTERNA
